lang,qr1,qr2,qr3,qr4,q5,qr6,qr7,qr8,q9
EN-US,1,1,1,2,2,2,2,2,4
FR-CA,1,1,1,2,2,1,1,1,3
ES-US,1,1,1,1,3,3,1,1,2
EN-US,1,2,2,1,1,2,1,2,2
FR-CA,1,1,1,1,2,1,1,1,3
ES-US,1,1,1,2,3,1,1,1,4
EN-US,1,1,1,2,2,2,1,2,3
FR-CA,1,1,1,2,2,2,1,1,4
ES-US,1,1,1,1,2,1,1,1,2
EN-US,2,2,2,2,2,2,2,2,2
FR-CA,2,1,1,2,2,2,1,2,2
ES-US,1,1,1,2,2,1,1,1,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,2,3,2,1,1,3
ES-US,1,1,1,2,3,2,1,2,2
EN-US,1,1,2,2,2,1,1,1,4
FR-CA,1,1,1,3,3,1,1,1,2
ES-US,1,1,1,1,2,1,1,1,2
EN-US,1,2,1,1,2,2,1,1,2
FR-CA,1,1,1,1,2,2,1,1,3
ES-US,1,1,1,2,2,2,1,1,2
EN-US,1,2,1,2,2,2,1,2,2
FR-CA,1,1,1,1,2,1,1,1,4
ES-US,1,1,1,2,2,2,1,1,3
EN-US,1,1,1,2,3,2,1,2,3
FR-CA,1,1,1,2,2,2,1,1,2
ES-US,1,1,1,1,4,2,1,1,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,2,2,2,1,1,2
ES-US,1,1,1,2,2,2,1,1,2
EN-US,1,1,2,2,1,2,2,2,3
FR-CA,1,1,1,2,3,2,1,1,4
ES-US,1,1,1,2,3,1,1,1,2
EN-US,1,1,1,2,2,2,1,1,3
FR-CA,1,1,1,2,2,2,1,1,2
ES-US,1,1,1,1,2,1,1,1,2
EN-US,2,2,2,2,2,2,1,2,3
FR-CA,1,1,1,1,2,1,1,1,3
ES-US,1,1,1,2,2,2,1,1,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,1,2,1,1,1,4
ES-US,1,1,1,2,2,2,1,1,2
EN-US,1,1,1,2,2,2,1,1,4
FR-CA,1,1,1,1,2,1,1,1,3
ES-US,1,1,1,1,2,1,1,1,3
EN-US,1,2,1,2,1,2,2,2,3
FR-CA,1,1,1,1,2,1,1,2,4
ES-US,1,1,1,1,2,1,1,1,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,2,2,2,1,1,2
ES-US,1,1,1,2,2,2,1,1,2
EN-US,1,1,2,2,3,2,1,2,4
FR-CA,1,1,2,2,2,2,1,1,3
ES-US,1,1,1,1,2,1,1,1,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,1,2,1,1,1,3
ES-US,1,1,1,2,2,2,1,1,2
EN-US,1,1,1,2,2,2,1,2,2
FR-CA,1,1,1,2,2,1,1,2,4
ES-US,1,1,1,2,2,2,1,1,2
EN-US,2,2,2,2,2,2,2,1,2
FR-CA,1,1,1,2,2,1,1,1,2
ES-US,1,1,1,1,2,1,1,1,3
EN-US,2,2,2,2,2,2,2,2,4
FR-CA,1,1,1,1,2,1,1,1,2
ES-US,1,1,1,2,2,1,1,1,3
EN-US,2,2,2,2,3,2,2,2,4
FR-CA,1,1,1,2,2,2,1,2,4
ES-US,1,1,1,1,3,2,1,2,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,1,2,1,1,1,3
ES-US,1,1,1,1,2,1,1,1,4
EN-US,2,1,2,2,3,2,2,2,3
FR-CA,1,1,1,4,2,1,1,1,4
ES-US,1,1,1,1,2,1,1,1,3
EN-US,1,2,2,2,3,2,1,1,3
FR-CA,1,1,1,2,3,2,1,1,3
ES-US,1,1,1,1,2,1,1,1,3
EN-US,1,2,1,2,3,2,1,1,4
FR-CA,1,1,1,2,3,2,1,1,4
ES-US,1,1,1,2,2,2,1,1,2
EN-US,1,1,2,2,2,2,1,2,4
FR-CA,1,1,1,1,2,1,1,1,4
ES-US,1,1,1,1,1,2,1,1,2
EN-US,2,2,2,2,2,2,2,2,3
FR-CA,1,1,1,1,3,1,1,1,3
ES-US,1,1,1,1,2,1,1,1,2
EN-US,1,2,2,2,2,2,1,2,3
FR-CA,1,1,1,1,2,1,1,1,2
ES-US,1,1,1,1,2,2,1,1,3
