EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Neither agree or disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither agree or disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Neither agree or disagree, Disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
EN-US,Strongly Agree, Strongly Agree, Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither Agree nor Disagree
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree, Neither agree or disagree
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree nor disagree
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither agree or disagree
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither agree or disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas du tout d'accord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d’accord , Tout à fait d’accord , Tout à fait d’accord , Tout à fait d’accord , Pas d’accord , Tout à fait d’accord , Tout à fait d’accord , Tout à fait d’accord , Pas d’accord , Pas d’accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Pas d’accord, Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Pas d’accord, Pas d’accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
