813502746,EN-US, Disagree, Strongly Agree, Agree, Strongly Agree, Agree, Agree, Disagree, Strongly Agree,Strongly Agree
576348120,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
248173065,ES-US, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo
041853762,EN-US,Strongly Agree, Strongly Agree, Disagree, Agree, Strongly Agree, Disagree, Agree, Strongly Agree, Agree
602134875,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
637258140,ES-US, De acuerdo, Totalmente de acuerdo , De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , En desacuerdo ,Totalmente de acuerdo , Totalmente de acuerdo , De acuerdo 
257613804,EN-US, Agree, Disagree,Strongly Agree, Agree, Disagree, Strongly Agree, Agree, Strongly Agree, Strongly Agree
412638075,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
218673450,ES-US, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo
306785124,EN-US, Strongly Agree, Strongly Agree, Agree,Strongly Agree, Disagree, Agree, Strongly Agree, Agree, Disagree
734605128,FR-CA, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord
640512837,ES-US, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
316285047,EN-US, Strongly agree, Strongly agree, Agree,Strongly agree, Agree, Agree, Strongly agree, Disagree, Disagree
453180267,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord
257430618,ES-US, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
304526178,EN-US, Strongly agree, Strongly agree, Disagree,Strongly agree, Strongly agree, Agree, Agree, Agree, Disagree
368051472,FR-CA, Tout à fait d'accord , Tout à fait d'accord , D'accord,Tout à fait d'accord , Tout à fait d'accord , En désaccord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord 
504826137,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, De acuerdo, De acuerdo
803541672,EN-US, Strongly Agree, Agree, Disagree, Strongly Agree, Disagree, Agree, Strongly Agree, Agree,Strongly Agree
031826745,FR-CA,Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
385427610,ES-US, De acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
541762308,EN-US, Agree, Strongly Agree, Agree, Strongly Agree, Strongly Agree,Strongly Agree , Disagree, Agree, Disagree
207856314,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
605273841,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo
681245307,EN-US, Agree , Strongly Agree , Agree , Strongly Agree , Disagree , Agree ,Strongly Agree , Neither agree or disagree, Strongly Agree 
708154263,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord
384762150,ES-US, De acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo
651743082,EN-US, Strongly Agree, Strongly Agree, Disagree, Agree, Disagree, Strongly Agree,Strongly Agree, Agree, Agree
534180762,FR-CA, Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
367140528,ES-US, De acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
305472186,EN-US, Strongly agree, Strongly agree, Agree,Strongly agree, Agree, Strongly agree, Disagree, Disagree, Agree
382107564,FR-CA, En désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
601457823,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
365784210,EN-US, Disagree, Agree, Strongly Agree,Strongly Agree, Agree, Strongly Agree, Strongly Agree, Agree, Disagree
231758406,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord
084137652,ES-US,Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
073621485,EN-US,Strongly agree, Agree, Disagree, Strongly agree, Strongly agree, Disagree, Agree, Strongly agree, Agree
713420865,FR-CA, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord
074318562,ES-US,Totalmente de acuerdo, En desacuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
263817045,EN-US, Strongly Agree, Disagree,Strongly Agree, Strongly Agree, Agree, Disagree, Strongly Agree, Agree, Agree
846570312,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord
634821750,ES-US, De acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
430618275,EN-US, Strongly Agree, Disagree, Strongly Agree, Strongly Agree,Strongly Agree, Disagree, Agree, Agree, Agree
576284301,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
832467105,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo
152786043,EN-US, Strongly Agree,Strongly Agree, Strongly Agree, Disagree, Agree, Strongly Agree, Agree, Agree, Disagree
068427351,FR-CA,Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
357126048,ES-US, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo
230157468,EN-US, Strongly Agree, Agree,Strongly Agree, Strongly Agree, Strongly Agree, Disagree, Agree, Agree, Disagree
450371826,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord
463251780,ES-US, De acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
670431528,EN-US, Strongly Agree , Agree , Agree , Disagree , Agree , Strongly Agree ,Strongly Agree , Strongly Agree , Disagree
