753620184,EN-US, Agree, Strongly Agree, Neither Agree or Disagree, Strongly Agree, Disagree, Strongly Agree, Agree,Strongly Agree, Agree
036217458,FR-CA,Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
152873460,ES-US, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo
524816037,EN-US, Strongly agree, Disagree, Strongly agree, Agree, Strongly agree,Strongly agree, Agree, Neither agree or disagree, Agree
823174506,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord,Tout à fait d'accord
046278531,ES-US,Totalmente de acuerdo , De acuerdo, De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , En desacuerdo , De acuerdo 
378450612,EN-US, Agree, Agree, Neither Agree or Disagree,Strongly Agree, Agree, Disagree, Strongly Agree, Strongly Agree, Strongly Agree
368724015,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
845137602,ES-US, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo
243758610,EN-US, Neither agree nor disagree, Agree,Strongly agree, Strongly agree, Strongly agree, Disagree, Strongly agree, Agree, Agree
357204168,FR-CA, Ni d'accord ni en désaccord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
213806754,ES-US, En desacuerdo , Totalmente de acuerdo ,Totalmente de acuerdo , Totalmente de acuerdo , De acuerdo, Totalmente de acuerdo , De acuerdo , Totalmente de acuerdo, De acuerdo 
587261034,EN-US, Strongly agree, Agree, Agree, Agree, Neither agree or disagree,Strongly agree, Disagree, Strongly agree, Strongly agree
427031685,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
125306847,ES-US, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo
084356217,EN-US,Strongly agree, Agree, Strongly agree, Agree, Strongly agree, Disagree, Agree, Neither agree or disagree, Strongly agree
864570321,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord
751304286,ES-US, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo
456037218,EN-US, Agree, Agree, Strongly Agree, Disagree,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree
530182647,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
480572613,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo
783120456,EN-US, Agree, Agree, Disagree, Strongly agree, Strongly agree, Agree, Neither agree or disagree,Strongly agree, Strongly agree
058732614,FR-CA,Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord
630751248,ES-US, Totalmente de acuerdo , De acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , Totalmente de acuerdo , En desacuerdo ,Totalmente de acuerdo , De acuerdo , De acuerdo
376845012,EN-US, Strongly agree, Agree, Neither agree or disagree,Strongly agree, Disagree, Agree, Strongly agree, Strongly agree, Agree
