782361540,EN-US, Neither agree or disagree, Agree, Strongly agree, Agree, Agree, Strongly agree, Disagree,Strongly agree, Strongly agree
018364527,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord
763058421,ES-US, De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo
685130274,EN-US, Agree, Agree, Strongly agree, Disagree, Neither agree or disagree, Strongly agree,Strongly agree, Agree, Strongly agree
476352810,FR-CA, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
085341267,ES-US,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo
308756124,EN-US, Strongly agree, Strongly agree, Agree,Strongly agree, Neither agree or disagree, Disagree, Agree, Agree, Strongly agree
072135648,FR-CA,Tout à fait d'accord, D'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
542617308,ES-US, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, De acuerdo, De acuerdo
640125783,EN-US, Strongly agree, Agree, Neither agree or disagree, Disagree, Strongly agree, Agree,Strongly agree, Strongly agree, Agree
371628504,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord,Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord
036827415,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo
728516043,EN-US, Strongly Agree, Disagree, Strongly Agree, Neither Agree nor Disagree, Strongly Agree, Agree, Agree,Strongly Agree, Strongly Agree
483620751,FR-CA, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord
571238064,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
082346517,EN-US,Strongly Agree, Agree, Strongly Agree, Agree, Disagree, Strongly Agree, Agree, Neither Agree or Disagree, Strongly Agree
583127460,FR-CA, D'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
243170685,ES-US, De acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo
653847201,EN-US, Agree, Neither agree or disagree, Strongly agree, Strongly agree, Disagree, Strongly agree,Strongly agree, Agree, Agree
278153604,FR-CA, D'accord, D'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
680425731,ES-US, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo
142860735,EN-US, Agree,Strongly Agree, Strongly Agree, Agree, Strongly Agree, Neither Agree or Disagree, Disagree, Strongly Agree, Agree
704385162,FR-CA, Tout à fait d'accord , Tout à fait d'accord , D'accord, D'accord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord ,Tout à fait d'accord , Ni d'accord ni en désaccord 
701245683,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo
876150342,EN-US, Agree, Agree, Neither Agree or Disagree, Strongly Agree, Agree, Disagree, Strongly Agree, Strongly Agree,Strongly Agree
743026815,FR-CA, D'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord
513840267,ES-US, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo
