038152746,EN-US,Agree, Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree
725380641,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord
560712348,ES-US, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo
028145367,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Agree
835247061,FR-CA, D'accord, D'accord, D'accord, Tout à fait d'accord, En désaccord, D'accord, D'accord, D'accord,Tout à fait d'accord
637810425,ES-US, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
610287354,EN-US, Agree, Agree, Agree, Agree, Neither agree nor disagree, Agree,Agree, Agree, Disagree
156380742,FR-CA, Tout à fait d'accord,Tout à fait d'accord, D'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
214037568,ES-US, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, En desacuerdo
273815064,EN-US, Strongly agree, Disagree,Agree, Agree, Neither agree nor disagree, Agree, Strongly agree, Agree, Agree
635148207,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, D'accord, Tout à fait d'accord
374521086,ES-US, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo
408351672,EN-US, Strongly agree, Agree, Neither agree or disagree, Strongly agree,Strongly agree, Strongly disagree, Strongly agree, Strongly agree, Strongly agree
670342815,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord
307416528,ES-US, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
068437215,EN-US,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Agree, Agree
802163475,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord
748362015,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, De acuerdo, Totalmente de acuerdo, En desacuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo
