156473820,EN-US, Strongly agree,Agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree
065834721,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
718564302,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
247508163,EN-US, Agree, Agree,Agree, Agree, Neither agree or disagree, Agree, Strongly agree, Agree, Neither agree or disagree
045831726,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
186703425,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
456071283,EN-US, Strongly agree, Strongly agree, Agree, Agree,Neither agree nor disagree, Agree, Strongly agree, Strongly agree, Neither agree nor disagree
652483071,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord,Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
431725068,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
156084372,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
751283406,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord,D'accord, Ni d'accord ni en désaccord
