671324058,EN-US, Strongly agree , Strongly agree , Strongly agree , Agree , Disagree , Agree ,Agree , Agree , Agree
673051248,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
603514287,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
375046182,EN-US, Strongly agree, Agree, Agree,Strongly agree, Strongly disagree, Agree, Strongly agree, Agree, Disagree
372165480,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
478513026,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
805731462,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree,Neither agree nor disagree
025378146,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
356218074,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
576028341,EN-US, Agree, Agree, Agree, Agree, Disagree,Agree, Agree, Agree, Disagree
231705846,FR-CA, D'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord, En désaccord
873106524,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
265743081,EN-US, Agree, Agree,Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
473526018,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
425710836,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo
263754018,EN-US, Strongly agree, Strongly agree,Agree, Agree, Disagree, Strongly agree, Strongly agree, Strongly agree, Agree
684751023,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Ni d'accord ni en désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, En désaccord
826071543,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
506173482,EN-US, Strongly agree, Agree, Strongly agree, Strongly agree, Disagree,Agree, Strongly agree, Strongly agree, Disagree
467013285,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
301784652,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
163728540,EN-US, Strongly agree,Agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree
807564123,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,D'accord
652143708,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
783516024,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Neither agree nor disagree, Agree, Strongly agree,Agree, Neither agree nor disagree
085173426,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
438510726,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,De acuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
641023578,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree,Agree, Agree, Neither agree nor disagree
786524301,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord
283164705,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
867345012,EN-US, Strongly agree, Strongly agree, Agree, Agree, Strongly disagree, Agree, Agree, Agree,Neither agree or disagree
482163057,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
518726034,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
368054217,EN-US, Strongly agree, Strongly agree, Strongly agree,Agree, Disagree, Agree, Strongly agree, Strongly agree, Neither agree nor disagree
516048273,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
725108463,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
053278461,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Strongly agree, Agree, Neither agree nor disagree
532680741,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
873420651,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
107658243,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
870145623,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,D'accord
715680342,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
746280135,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree,Strongly agree, Agree
560418372,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
406283715,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
156780432,EN-US, Strongly agree,Agree, Strongly agree, Agree, Strongly disagree, Agree, Agree, Agree, Neither agree nor disagree
351426807,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord
840162573,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
170623485,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree or disagree
247513608,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord
135806274,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
721854360,EN-US, Strongly agree, Strongly agree, Agree, Agree, Neither agree or disagree, Agree, Strongly agree,Agree, Agree
802136457,FR-CA, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Ni d'accord ni en désaccord
586027431,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
