428157630,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree,Disagree, Agree, Strongly agree, Agree, Disagree
705213648,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord
241837056,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
073512486,EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Neither agree or disagree
210534876,FR-CA, Tout à fait d'accord , Tout à fait d'accord ,Tout à fait d'accord , D'accord , En désaccord, D'accord , Tout à fait d'accord, D'accord , D'accord 
087534162,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
357468120,EN-US, Strongly agree, Strongly agree, Strongly agree,Agree, Disagree, Neither agree or disagree, Strongly agree, Agree, Disagree
682730154,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord,Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord
043762851,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
143628750,EN-US, Strongly Agree,Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Neither agree or disagree
520863417,FR-CA, Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , D'accord , En désaccord ,Tout à fait d'accord , Tout à fait d'accord , D'accord, Ni d'accord ni en désaccord 
137486520,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
713624085,EN-US, Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree,Agree, Neither agree or disagree
807145236,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, D'accord,Ni d'accord ni en désaccord
075862314,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
314627058,EN-US, Strongly Agree, Strongly Agree, Strongly Agree,Agree, Neither Agree or Disagree, Agree, Strongly Agree, Agree, Disagree
861547230,FR-CA, Tout à fait d'accord, Tout à fait d'accord , Tout à fait d'accord , D'accord , En désaccord , D'accord , Tout à fait d'accord , Tout à fait d'accord ,Ni d'accord ni en désaccord 
052481637,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
340728516,EN-US, Strongly agree , Strongly agree , Strongly agree ,Agree , Neither agree or disagree , Agree , Strongly agree, Agree , Disagree 
317546208,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, Ni d'accord ni en désaccord, Tout à fait d'accord, Tout à fait d'accord, D'accord, D'accord
864537201,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
371654280,EN-US, Strongly agree, Strongly agree, Strongly agree,Agree, Disagree, Agree, Strongly agree, Strongly agree, Neither agree or disagree
530124687,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
832546701,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
140287563,EN-US, Strongly Agree,Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Neither Agree or Disagree
854601237,FR-CA, Tout à fait d'accord, D'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, D'accord, Tout à fait d'accord,Ni d'accord ni en désaccord
048567123,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
830276154,EN-US, Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree,Disagree
587462103,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
