152638074,EN-US, Agree,Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree nor disagree
043521876,FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
658410273,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
384720615,EN-US, Agree, Agree, Agree,Agree, Neither agree or disagree, Agree, Agree, Agree, Neither agree or disagree
624375180,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
156872304,ES-US, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
830457216,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree,Neither agree or disagree
803746521,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord,En désaccord
582304671,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
207168534,EN-US, Agree, Agree,Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree or disagree
725348610,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord
674851023,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
230158746,EN-US, Strongly agree, Strongly agree,Agree, Agree, Disagree, Agree, Strongly agree, Agree, Neither agree nor disagree
723164085,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord,Tout à fait d'accord, Ni d'accord ni en désaccord
781465023,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo
251608374,EN-US, Agree, Agree,Agree, Agree, Disagree, Agree, Agree, Agree, Neither agree or disagree
843650721,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord
873610254,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,En desacuerdo
013624785,EN-US,Agree, Agree, Agree, Agree, Neither agree or disagree, Agree, Agree, Agree, Agree
120534876,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
217864350,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
705261438,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree,Agree, Disagree
541327608,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
028153467,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
875403612,EN-US, Agree, Agree, Agree, Agree, Neither agree or disagree, Agree, Agree, Agree,Neither agree or disagree
670523184,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
253018674,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
635180247,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree,Agree, Agree, Neither agree or disagree
401356278,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord,En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord
645230178,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
281034657,EN-US, Strongly agree, Strongly agree,Agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Agree
825647310,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,Fortement en désaccord
375046821,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
837460251,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree,Disagree
274086351,FR-CA, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
065487123,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
514682730,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Disagree,Agree, Strongly agree, Agree, Neither agree nor disagree
604127583,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
065837241,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo
623478105,EN-US, Agree, Agree, Agree, Agree, Disagree, Agree,Agree, Agree, Neither agree nor disagree
643582017,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, D'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
486231057,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo,Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo
548326017,EN-US, Strongly agree, Strongly agree, Strongly agree, Agree, Neither agree nor disagree,Agree, Strongly agree, Strongly agree, Agree
165083427,FR-CA, Tout à fait d'accord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
056178432,ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, De acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo
378251046,EN-US, Agree, Agree, Agree,Agree, Neither agree or disagree, Agree, Agree, Agree, Neither agree or disagree
527380614,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord
680145732,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, En desacuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
071368245,EN-US,Agree, Agree, Agree, Agree, Disagree, Agree, Agree, Agree, Disagree
832405167,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord,En désaccord
470385612,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
265713048,EN-US, Strongly agree, Strongly agree,Agree, Agree, Disagree, Agree, Strongly agree, Agree, Neither agree or disagree
654307182,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, En désaccord, D'accord,Tout à fait d'accord, Tout à fait d'accord, D'accord
574281036,ES-US, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
462073815,EN-US, Strongly agree, Strongly agree, Agree, Agree,Neither agree or disagree, Agree, Strongly agree, Strongly agree, Agree
735812406,FR-CA, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, En désaccord, Tout à fait d'accord, Tout à fait d'accord,Tout à fait d'accord, D'accord
201678345,ES-US, Totalmente de acuerdo, Totalmente de acuerdo,Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo
718460253,EN-US, Agree, Agree, Agree, Agree, Neither agree or disagree, Agree, Agree,Agree, Neither agree or disagree
